# ----------------------------------------
# 411_web-bnet/sc2 (aggregated without locale)
# Site Pageviews
# 20151023-20151114
# ----------------------------------------

Page,Pageviews
/kr.battle.net/sc2/LOCALE/blog/9842181/AGGREGATED,"4,509"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/6,"4,505"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/end-in-fire/7,"4,495"
/kr.battle.net/sc2/LOCALE/ladder/grandmaster/heart-of-the-swarm,"4,448"
/eu.battle.net/sc2/LOCALE/game/lore/short-stories/perditions-crossing/1,"4,439"
/kr.battle.net/sc2/LOCALE/blog/19923884/AGGREGATED,"4,432"
/us.battle.net/sc2/LOCALE/game/planet/,"4,403"
/eu.battle.net/sc2/LOCALE/game/unit/viking,"4,363"
/us.battle.net/sc2/LOCALE/game/unit/carrier,"4,356"
/eu.battle.net/sc2/LOCALE/blog/19938590/AGGREGATED,"4,345"
/eu.battle.net/sc2/LOCALE/forum/44105/,"4,290"
/us.battle.net/sc2/LOCALE/game/unit/void-ray,"4,278"
/kr.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/10,"4,269"
/us.battle.net/sc2/LOCALE/game/unit/colossus,"4,250"
/us.battle.net/sc2/LOCALE/game/unit/ghost,"4,247"
/us.battle.net/sc2/LOCALE/game/unit/roach,"4,178"
/kr.battle.net/sc2/LOCALE/blog/19932221/AGGREGATED,"4,176"
/us.battle.net/sc2/LOCALE/game/unit/high-templar,"4,173"
/us.battle.net/sc2/LOCALE/blog/19913944/AGGREGATED,"4,155"
/eu.battle.net/sc2/LOCALE/game/unit/mutalisk,"4,129"
/us.battle.net/sc2/LOCALE/game/unit/reaper,"4,124"
/eu.battle.net/sc2/LOCALE/profile/AGGREGATED/rewards/zerg-decals,"4,111"
/eu.battle.net/sc2/LOCALE/forum/11860/,"4,106"
/kr.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/3,"4,060"
/us.battle.net/sc2/LOCALE/game/lore/short-stories/sector-six/3,"4,055"
